id,title,slug,description,required_skills,expected_budget,expected_duration,attachments,client_id,specialization_id,status,type,location_type,longitude,latitude,address,created_at,updated_at
106,Financial Manager,,ABSER Ltd. is looking for a personality to recruit him in the area of car service financial management and business development. The position is a senior management. The incumbent will be responsible for managing day to day activities and bringing the enterprise to more organized and modern condition in compliance with western management standards.,,100.0,10,,1,1,,open,remote,,,,,
107,Finance Assistant/ Accountant,,UMCOR Armenia is looking to hire a Finance Assistant/ Accountant for its Yerevan and Goris Offices. The Finance Assistant/ Accountant reports to Finance Director.,,100.0,10,,1,1,,open,remote,,,,,
108,Engineer/ Supervisor for the Global Fund Project,,The United Nations Development Programme in Armenia announces opening for the position of  Engineer/ Supervisor for the Global Fund Project.,,100.0,10,,1,1,,open,remote,,,,,
109,Project Deputy Director,,Under the supervision of the USDA-MAP Director/Coordinator the Deputy Director will assist the Project Director/Coordinator and provide oversight on all programs and their operations with a strong focus on the technical and programmatic aspects monitoring and impact evaluation training coordination of MAP projects with outside development implementers and help build capacity within Armenian agribusinesses. The Deputy Director will advise the Director/Coordinator on USDA-MAP programs on food marketing agriculture and rural and agribusiness development.,,100.0,10,,1,1,,open,remote,,,,,
110,Sales & Marketing Specialist,,Valensia Hotel & Resort is looking for a Marketing Specialist.,,100.0,10,,1,1,,open,remote,,,,,
111,Loan Promoter,,MDF-Kamurj is currently looking to recruit a Loan Promoter for its Vanadzor branch.,,100.0,10,,1,1,,open,remote,,,,,
112,Executive Assistant (part time),,In close collaboration with John Snow Inc and Ministry of Health of RA Synergy International Systems Inc./ Armenia currently develops a pharmaceutical information management system. Within the framework of this project Synergy International Systems Inc./Armenia seeks to fill the short-term position of Executive Assistant.  The responsibilities of this position are focused on providing technical assistance and administrative support to the core members of the development team and various other staff members involved in the project.  This part-time position will be filled by a person with a Computer Science background. Graduates and Undergraduates are preferred. The Executive Assistant shall perform such administrative duties as may be specified by the Project Manager. The Executive Assistant will be chosen solely on the basis of his/her qualifications of an assistant with particular emphasis on his/her educational background organizational and interpersonal skills.,,100.0,10,,1,1,,open,remote,,,,,
113,Senior Database Administrator,,Synergy International Systems Inc./Armenia seeks to fill the long-term position of Senior Database Administrator. The responsibilities of this position are focused on functional specification definition design implementation and maintenance of the logical and physical database and data dictionary in compliance with application specifications company policies and company standards.  This position will be filled by a software developer with a proven history of database administration. Experience in a dynamic workplace with solid database administration practice is required. Ideally this position will be filled by a candidate who has experience in all aspects of the database administration process including design creation and troubleshooting of databases.,,100.0,10,,1,1,,open,remote,,,,,
114,International Banking and Financial Sector Expert,,IOS Partners Inc. a U.S. based International Consulting Firm is seeking senior bank and non-bank financial sector experts prudential bank supervision and bank restructuring experts interested in long and short-term assignment.,,100.0,10,,1,1,,open,remote,,,,,
115,Privatization Expert,,IOS Partners Inc. a U.S. based International Consulting Firm is seeking candidates for potential long and short-term international project.,,100.0,10,,1,1,,open,remote,,,,,
116,Pensions and Social Insurance Expert,,IOS Partners Inc. a U.S. based International Consulting Firm is seeking senior pension and social insurance experts interested in long and short-term assignment worldwide. IOS Partners currently has on-going insurance sector/ pension reform/ social security/ social insurance/ social investment funds/ social delivery benefit administration/ poverty reduction/ NGO development/ public administration reform related projects and opportunities in Eastern Europe Southeast South and Central Asia Africa and Latin America.,,100.0,10,,1,1,,open,remote,,,,,
117,Country Director,,Country Directors for Angola Chad Russian Federation Sudan and Tanzania IMC is seeking Country Directors to implement monitor and report on all country programs in addition to designing new program initiatives for our relief and development programs. The selected candidates will plan design implement supervise expand/develop and administer project and country programs.,,100.0,10,,1,1,,open,remote,,,,,
118,Leather and Textile Industry Expert,,IOS Partners Inc. a U.S. based International Consulting Firm is seeking candidates for potential long and short-term international project.,,100.0,10,,1,1,,open,remote,,,,,
119,Armenian Language & Cross-Cultural Facilitator (LCF) (short,,The United States Peace Corps program in Armenia seeks qualified and motivated candidates for temporary positions as Language and Cross-Cultural Facilitators during our upcoming Pre-Service Training Program which will take place in Dilijan. Selected LCFs will be living with host-families in towns and villages near Dilijan.,,100.0,10,,1,1,,open,remote,,,,,
